text,reposts_count,comments_count,attitudes_count,label
关于网传“免费采捡白菜”事件，官方通报！新华网2025年11月17日21:07北京关于网传“免费采捡白菜”事件调查处理情况的通报近日，部分网络平台账号发布信息反映松山区“免费采捡白菜”引发社会关注。松山区随即成立联合调查组，通过走访询问、调取视频等方式全面核实，涉事媒体红山晚报被警告，首发者黄某某被治安处罚，种植户损失9.52万元已补偿。,46,32,228,1
【#西藏丁青县熊吃人事件系谣言#】近日，网络流传“西藏丁青县熊吃人”消息，丁青县林草局回应：近年未发生熊类攻击致人死亡事件，网传“一家被吃两三口”不实。提醒网友不信谣、不传谣，编造谣言将被依法打击。,138,13,365,1
#官方回应28.5亿建的高标准农田被质疑是摆设#江西鄱阳县政府通报：2017年以来建高标准农田97.74万亩，今年1月已启动问题专项整治，媒体反映的提灌站闲置、工程质量问题均在整改清单，将严肃追责问责，欢迎监督。,22,62,279,1
#副院长出轨眼科主任医院6月刚被罚##严华之子人小事件#常州某医院副院长与眼科主任存在不正当关系，此前医院因医疗违规6月刚被处罚，网友呼吁加强医院医德医风监管，相关部门已介入调查。,101,176,170,1
#西安卫健委瞒天过海#2025年7月，市民反映西安国际医学中心非法行医致人死亡、“阳光基金”诈骗，西安卫健委信访回复多处错误：将2024年举报误写为2025年，医生职业范围标错，拒不承认医患签字的鉴定意见书，被巡视组指出问题。,23853,13428,20695,1
#上海绿捷8人被逮捕#绿捷公司勾连招标代理公司，组织陪标公司“围标”，非法中标86个校园餐项目，涉案人张某华、蒋某等8人被逮捕。调查显示，绿捷需找陪标公司才达投标基础要求，网友质疑“内定中标”，呼吁彻查背后利益链。,3013,190,9182,1
杭州超话#社会新闻#庆元县某开发项目2012年动工至今未完工验收，2025年9月浙江省第七巡视组进驻时，举报人递材料需过三道关卡，仅见庆元县工作人员，巡视组人员去向不明，网友质疑“形式巡视”。,420,15,11,1
【河南洛阳：示范文本赋能高效司法服务】洛阳法院联合金融监管、司法行政等部门推广“两状”示范文本，全市58类审判领域应用率96%，9类执行申请书应用率67.1%，下一步将探索智能文书生成系统，提升立案效率。,13,10,6,1
【#政府回应小朋友在牌匾上涂鸦#】四川雅安多营镇政府牌匾被小朋友涂鸦，镇党委书记回应：小朋友在家长跳广场舞时玩耍涂鸦，保洁擦拭未掉，基于节约和珍藏童真，暂不更换牌匾，政府大院广场免费对居民开放。,72,176,1508,1
【甘肃“十五五”规划发布会】2026年5月，甘肃省政府举行“十五五”规划专场发布会，省长任振鹤等介绍规划纲要，重点推进乡村振兴、生态保护、产业升级，实录可通过甘肃发布官网查看。,14,32,47,1
#警方通报华中农大一博士在校溺亡#华中农大分子生物学博士意外溺亡，该校占地7000多亩，三面环南湖、野芷湖，非校园小水坑，警方排除他杀，学校已成立专班处理善后。,16,53,617,1
毛茸茸的水果开N个微信群非公开集资，日集资超10万元，质疑者遭管理员围攻、踢群后重建审核，网友呼吁监管部门介入，核查是否涉嫌非法集资。,9,46,806,1
女子兰州旅游半夜找酒店借剪刀，保安怕其自残在外等候，女子发视频称被“威胁”呼吁避雷，网友扒出真相后女子翻车，兰州文旅留言“哎”字引共鸣。,62,154,1690,1
美国男博主“变帅教学”走红，带火“Looksmaxxing容貌极致化”，网友抨击：制造男性容貌焦虑，加剧“雄竞”，反对过度外貌内卷。,1894,522,20384,0
#女婴心脏手术去世涉事医生已停诊#浙江宁波5月龄女婴做“低风险微创手术”时死亡，术中二次开胸被隐瞒，病历与死亡事实相悖，涉事医生已停诊，家属呼吁彻查手术疏漏，网友关注术前评估争议。,0,120,16,1
